Product Name,Category Name,Brand Name,MRP,Selling Price,Tax,Quantity,Status,Description
Product 11,Category 1,Brand 1,300,350,5,100,active,Product Description
Product 12,Category 1,Brand 1,400,450,5,100,inactive,Product Description
Product 13,Category 3,Brand 1,500,550,5,100,active,Product Description
Product 14,Category 4,Brand 2,600,650,0,100,active,Product Description
Product 15,Category 5,Brand 2,700,750,10,100,inactive,Product Description
Product 16,Category 2,Brand 2,800,850,5,100,inactive,Product Description
Product 17,Category 4,Brand 3,900,950,10,100,active,Product Description
Product 18,Category 3,Brand 3,420,450,0,100,active,Product Description
Product 19,Category 1,Brand 3,310,350,5,100,active,Product Description
Product 20,Category 2,Brand 2,520,600,5,100,inactive,Product Description
